"id","internaltime","timestampDate","timestampUnix","teamname","telemetry"
"15242","2593342","2026-01-08 19:16:51","1767899811","spasic","0903000004E03CBF5600000000000000"
"15248","2593352","2026-01-08 19:17:01","1767899821","spasic","0903000004F0B5BD5600000000000000"
"15255","2593362","2026-01-08 19:17:11","1767899831","spasic","09030000040027B15600000000000000"
"15261","2593372","2026-01-08 19:17:21","1767899841","spasic","0903000004101F8D5600000000000000"
"15267","2593382","2026-01-08 19:17:31","1767899851","spasic","09030000042066585600000000000000"
"15273","2593392","2026-01-08 19:17:41","1767899861","spasic","0903000004308A215600000000000000"
"15279","2593402","2026-01-08 19:17:51","1767899871","spasic","09030000044040F05500000000000000"
"15286","2593413","2026-01-08 19:18:02","1767899882","spasic","0903000004508FC95500000000000000"
"15293","2593423","2026-01-08 19:18:12","1767899892","spasic","07010300BD0200006068AE5500000000"
"15300","2593433","2026-01-08 19:18:22","1767899902","spasic","090300000470119E5500000000000000"
"15306","2593443","2026-01-08 19:18:32","1767899912","spasic","090300000480C6955500000000000000"
"15312","2593453","2026-01-08 19:18:42","1767899922","spasic","090300000490C9905500000000000000"
"15318","2593463","2026-01-08 19:18:52","1767899932","spasic","0903000004A0038B5500000000000000"
"15325","2593473","2026-01-08 19:19:02","1767899942","spasic","49000101AB69EE5F1F03606900000000"
"15331","2593483","2026-01-08 19:19:12","1767899952","spasic","0903000004C0B9785500000000000000"
"15337","2593494","2026-01-08 19:19:23","1767899963","spasic","0903000004D0B5685500000000000000"
"15343","2593504","2026-01-08 19:19:33","1767899973","spasic","0903000004E015515500000000000000"
"15349","2593514","2026-01-08 19:19:43","1767899983","spasic","0903000004F09F345500000000000000"
"15355","2593524","2026-01-08 19:19:53","1767899993","spasic","070103002103000000DD135500000000"
"15362","2593534","2026-01-08 19:20:03","1767900003","spasic","09030000041070EC5400000000000000"
"15369","2593544","2026-01-08 19:20:13","1767900013","spasic","09030000042072C55400000000000000"
"15376","2593554","2026-01-08 19:20:23","1767900023","spasic","0903000004302DA25400000000000000"
"15382","2593565","2026-01-08 19:20:34","1767900034","spasic","09030000044034825400000000000000"
"15388","2593575","2026-01-08 19:20:44","1767900044","spasic","0903000004508B6B5400000000000000"
"15394","2593585","2026-01-08 19:20:54","1767900054","spasic","09030000046069615400000000000000"
"15401","2593595","2026-01-08 19:21:04","1767900064","spasic","09030000047032645400000000000000"
"15407","2593605","2026-01-08 19:21:14","1767900074","spasic","0903000004800A735400000000000000"
"15413","2593615","2026-01-08 19:21:24","1767900084","spasic","090300000490D1895400000000000000"
"15419","2593625","2026-01-08 19:21:34","1767900094","spasic","0903000004B001AF5400000000000000"
"15425","2593635","2026-01-08 19:21:44","1767900104","spasic","0903000004C074B15400000000000000"
"15431","2593646","2026-01-08 19:21:55","1767900115","spasic","0903000004D04AA85400000000000000"
"15438","2593656","2026-01-08 19:22:05","1767900125","spasic","0903000004E0AC925400000000000000"
"15445","2593666","2026-01-08 19:22:15","1767900135","spasic","0903000004F051715400000000000000"
"15452","2593676","2026-01-08 19:22:25","1767900145","spasic","090300000400DF4A5400000000000000"
"15458","2593686","2026-01-08 19:22:35","1767900155","spasic","0903000004105F295400000000000000"
"15464","2593696","2026-01-08 19:22:45","1767900165","spasic","0903000004208D135400000000000000"
"15470","2593706","2026-01-08 19:22:55","1767900175","spasic","090300000430320C5400000000000000"
"15477","2593716","2026-01-08 19:23:05","1767900185","spasic","07010300E9030000408C155400000000"
"15483","2593727","2026-01-08 19:23:16","1767900196","spasic","0903000004505A2B5400000000000000"
"15489","2593737","2026-01-08 19:23:26","1767900206","spasic","0903000004601C455400000000000000"
"15495","2593747","2026-01-08 19:23:36","1767900216","spasic","090300000470C55A5400000000000000"
"15501","2593757","2026-01-08 19:23:46","1767900226","spasic","09030000048085685400000000000000"
"15507","2593767","2026-01-08 19:23:56","1767900236","spasic","49000101D76AEE5F4A04606900000000"
"15514","2593777","2026-01-08 19:24:06","1767900246","spasic","0903000004A04E665400000000000000"
"15521","2593787","2026-01-08 19:24:16","1767900256","spasic","0903000004B046575400000000000000"
"15528","2593798","2026-01-08 19:24:27","1767900267","spasic","0903000004C0303E5400000000000000"
"15534","2593808","2026-01-08 19:24:37","1767900277","spasic","0903000004D05C1D5400000000000000"
"15540","2593818","2026-01-08 19:24:47","1767900287","spasic","070103004D040000E0D8FC5300000000"
"15546","2593828","2026-01-08 19:24:57","1767900297","spasic","0903000004F0DBE15300000000000000"
"15553","2593838","2026-01-08 19:25:07","1767900307","spasic","09030000040082CC5300000000000000"
"15559","2593848","2026-01-08 19:25:17","1767900317","spasic","0903000004108EC05300000000000000"
"15565","2593858","2026-01-08 19:25:27","1767900327","spasic","090300000420BCBE5300000000000000"
"15571","2593868","2026-01-08 19:25:37","1767900337","spasic","09030000043031C55300000000000000"
"15577","2593879","2026-01-08 19:25:48","1767900348","spasic","0903000004405ED05300000000000000"
"15583","2593889","2026-01-08 19:25:58","1767900358","spasic","09030000045017DD5300000000000000"
"15590","2593899","2026-01-08 19:26:08","1767900368","spasic","0903000004600BE95300000000000000"
"15597","2593909","2026-01-08 19:26:18","1767900378","spasic","09030000047085F05300000000000000"
"15609","2593929","2026-01-08 19:26:38","1767900398","spasic","09030000049078E75300000000000000"
"15615","2593939","2026-01-08 19:26:48","1767900408","spasic","0903000004A017D15300000000000000"
"15621","2593949","2026-01-08 19:26:58","1767900418","spasic","0903000004B038AE5300000000000000"
"15628","2593960","2026-01-08 19:27:09","1767900429","spasic","0903000004C052865300000000000000"
"15634","2593970","2026-01-08 19:27:19","1767900439","spasic","0903000004D0EF645300000000000000"
"15640","2593980","2026-01-08 19:27:29","1767900449","spasic","0903000004E00A4D5300000000000000"
"15646","2593990","2026-01-08 19:27:39","1767900459","spasic","0903000004F06F405300000000000000"
"15652","2594000","2026-01-08 19:27:49","1767900469","spasic","09030000040059415300000000000000"
"15659","2594010","2026-01-08 19:27:59","1767900479","spasic","090300000410BC4D5300000000000000"
"15666","2594020","2026-01-08 19:28:09","1767900489","spasic","07010300150500002078605300000000"
"15673","2594031","2026-01-08 19:28:20","1767900500","spasic","0903000004303C735300000000000000"
"15679","2594041","2026-01-08 19:28:30","1767900510","spasic","09030000044078815300000000000000"
"15685","2594051","2026-01-08 19:28:40","1767900520","spasic","090300000450ED855300000000000000"
"15691","2594061","2026-01-08 19:28:50","1767900530","spasic","0903000004600E7E5300000000000000"
"15698","2594071","2026-01-08 19:29:00","1767900540","spasic","49000101036CEE5F7705606900000000"
"15704","2594081","2026-01-08 19:29:10","1767900550","spasic","090300000480A34D5300000000000000"
"15710","2594091","2026-01-08 19:29:20","1767900560","spasic","090300000490C2285300000000000000"
"15716","2594101","2026-01-08 19:29:30","1767900570","spasic","0903000004A052055300000000000000"
"15722","2594112","2026-01-08 19:29:41","1767900581","spasic","0903000004B098E95200000000000000"
"15728","2594122","2026-01-08 19:29:51","1767900591","spasic","0701030079050000C065D75200000000"
"15735","2594132","2026-01-08 19:30:01","1767900601","spasic","0903000004D053CF5200000000000000"
"15742","2594142","2026-01-08 19:30:11","1767900611","spasic","0903000004E004D55200000000000000"
"15749","2594152","2026-01-08 19:30:21","1767900621","spasic","0903000004F0E2E25200000000000000"
"15755","2594162","2026-01-08 19:30:31","1767900631","spasic","090300000400B4F05200000000000000"
"15761","2594172","2026-01-08 19:30:41","1767900641","spasic","0903000004107DFD5200000000000000"
"15767","2594182","2026-01-08 19:30:51","1767900651","spasic","09030000042023065300000000000000"
"15774","2594193","2026-01-08 19:31:02","1767900662","spasic","09030000043019085300000000000000"
"15780","2594203","2026-01-08 19:31:12","1767900672","spasic","0903000004408A035300000000000000"
"15786","2594213","2026-01-08 19:31:22","1767900682","spasic","09030000045099F75200000000000000"
"15797","2594233","2026-01-08 19:31:42","1767900702","spasic","090300000470D9CD5200000000000000"
"15803","2594243","2026-01-08 19:31:52","1767900712","spasic","090300000480B7B75200000000000000"
"15810","2594253","2026-01-08 19:32:02","1767900722","spasic","090300000490F3A25200000000000000"
"15817","2594263","2026-01-08 19:32:12","1767900732","spasic","0903000004A03A905200000000000000"
"15824","2594274","2026-01-08 19:32:23","1767900743","spasic","0903000004B0E1805200000000000000"
"15830","2594284","2026-01-08 19:32:33","1767900753","spasic","0903000004C0377A5200000000000000"
"15836","2594294","2026-01-08 19:32:43","1767900763","spasic","0903000004D0C97F5200000000000000"
"15842","2594304","2026-01-08 19:32:53","1767900773","spasic","0903000004E02D8F5200000000000000"
"15849","2594314","2026-01-08 19:33:03","1767900783","spasic","0903000004F09BA55200000000000000"
"15855","2594324","2026-01-08 19:33:13","1767900793","spasic","07010300410600000025C05200000000"
"15861","2594334","2026-01-08 19:33:23","1767900803","spasic","09030000041058DB5200000000000000"
"15867","2594345","2026-01-08 19:33:34","1767900814","spasic","0903000004207FF35200000000000000"
"15873","2594355","2026-01-08 19:33:44","1767900824","spasic","0903000004301B065300000000000000"
"15879","2594365","2026-01-08 19:33:54","1767900834","spasic","0903000004409F0F5300000000000000"
"15886","2594375","2026-01-08 19:34:04","1767900844","spasic","490001012F6DEE5FA306606900000000"
"15893","2594385","2026-01-08 19:34:14","1767900854","spasic","090300000460B3025300000000000000"
"15900","2594395","2026-01-08 19:34:24","1767900864","spasic","090300000470B9EF5200000000000000"
"15906","2594405","2026-01-08 19:34:34","1767900874","spasic","09030000048019D85200000000000000"
"15912","2594415","2026-01-08 19:34:44","1767900884","spasic","09030000049099C15200000000000000"
"15918","2594426","2026-01-08 19:34:55","1767900895","spasic","07010300A5060000A07AB25200000000"
"15925","2594436","2026-01-08 19:35:05","1767900905","spasic","0903000004B01FB35200000000000000"
"15931","2594446","2026-01-08 19:35:15","1767900915","spasic","0903000004C025C55200000000000000"
"15937","2594456","2026-01-08 19:35:25","1767900925","spasic","0903000004D018DD5200000000000000"
"15943","2594466","2026-01-08 19:35:35","1767900935","spasic","0903000004E0ACF05200000000000000"
"15949","2594476","2026-01-08 19:35:45","1767900945","spasic","0903000004F091FE5200000000000000"
"15955","2594486","2026-01-08 19:35:55","1767900955","spasic","090300000400B40A5300000000000000"
"15962","2594496","2026-01-08 19:36:05","1767900965","spasic","09030000041076165300000000000000"
"15969","2594507","2026-01-08 19:36:16","1767900976","spasic","09030000042012225300000000000000"
"15976","2594517","2026-01-08 19:36:26","1767900986","spasic","0903000004302F2E5300000000000000"
"15982","2594527","2026-01-08 19:36:36","1767900996","spasic","090300000450BD435300000000000000"
"15988","2594537","2026-01-08 19:36:46","1767901006","spasic","090300000460EB4C5300000000000000"
"15994","2594547","2026-01-08 19:36:56","1767901016","spasic","0903000004705D535300000000000000"
"16001","2594557","2026-01-08 19:37:06","1767901026","spasic","0903000004803B595300000000000000"
"16007","2594567","2026-01-08 19:37:16","1767901036","spasic","090300000490355F5300000000000000"
"16013","2594578","2026-01-08 19:37:27","1767901047","spasic","0903000004A0FB605300000000000000"
"16019","2594588","2026-01-08 19:37:37","1767901057","spasic","0903000004B030605300000000000000"
"16025","2594598","2026-01-08 19:37:47","1767901067","spasic","0903000004C06A5C5300000000000000"
"16031","2594608","2026-01-08 19:37:57","1767901077","spasic","0903000004D0FE565300000000000000"
"16038","2594618","2026-01-08 19:38:07","1767901087","spasic","070103006D070000E01E525300000000"
"16046","2594628","2026-01-08 19:38:17","1767901097","spasic","0903000004E5EE505300000000000000"
"16054","2594638","2026-01-08 19:38:27","1767901107","spasic","01024F4B0554524D03000903010004E5"
"16061","2594648","2026-01-08 19:38:37","1767901117","spasic","EE505301024F4B054558500D00090D00"
"16068","2594659","2026-01-08 19:38:48","1767901128","spasic","000A93368336C3369D36160000000000"
"16076","2594669","2026-01-08 19:38:58","1767901138","spasic","090D00000AA3368336C3369E36170001"
"16083","2594679","2026-01-08 19:39:08","1767901148","spasic","0003020D00090D00000AA3368336D336"
"16090","2594689","2026-01-08 19:39:18","1767901158","spasic","A6362E00090D00000AB3368336D336AA"
"16097","2594699","2026-01-08 19:39:28","1767901168","spasic","364600090D00000AD3368336D336B036"
"16104","2594709","2026-01-08 19:39:38","1767901178","spasic","5F000000000000000000000000000000"
"16111","2594719","2026-01-08 19:39:48","1767901188","spasic","090D00000AD3368336F336B736770009"
"16119","2594729","2026-01-08 19:39:58","1767901198","spasic","0D00000AE3368336F336BD368F00090D"
"16127","2594740","2026-01-08 19:40:09","1767901209","spasic","00000AE33683361337C436A800090D00"
"16135","2594750","2026-01-08 19:40:19","1767901219","spasic","000A033783361337CA36C000090D0000"
"16142","2594760","2026-01-08 19:40:29","1767901229","spasic","0A033783362337D136D8000000000000"
"16149","2594770","2026-01-08 19:40:39","1767901239","spasic","07010D0064000000F33683363337D736"
"16156","2594780","2026-01-08 19:40:49","1767901249","spasic","090D00000A033783363337DC36090109"
"16164","2594790","2026-01-08 19:40:59","1767901259","spasic","0D00000A133783363337DF362101090D"
"16171","2594800","2026-01-08 19:41:09","1767901269","spasic","00000A133783363337E2363901090D00"
"16178","2594811","2026-01-08 19:41:20","1767901280","spasic","000A133783363337E436510100000000"
"16185","2594821","2026-01-08 19:41:30","1767901290","spasic","49000101C26EEE5F35086069090D0000"
"16192","2594831","2026-01-08 19:41:40","1767901300","spasic","0AF33683363337E7368201090D00000A"
"16199","2594841","2026-01-08 19:41:50","1767901310","spasic","033783363337E8369A01090D00000A13"
"16207","2594851","2026-01-08 19:42:00","1767901320","spasic","3783363337E936B201090D00000A1337"
"16215","2594861","2026-01-08 19:42:10","1767901330","spasic","83363337EB36CB010000000000000000"
"16223","2594871","2026-01-08 19:42:20","1767901340","spasic","07010D00C8000000233783363337ED36"
"16230","2594881","2026-01-08 19:42:30","1767901350","spasic","090D00000A133783363337EF36FB0109"
"16237","2594892","2026-01-08 19:42:41","1767901361","spasic","0D00000A333783364337F1361302090D"
"16244","2594902","2026-01-08 19:42:51","1767901371","spasic","00000A333783365337F4362B02090D00"
"16252","2594912","2026-01-08 19:43:01","1767901381","spasic","000A533783366337F836440200000000"
"16259","2594922","2026-01-08 19:43:11","1767901391","spasic","090D00000A633783366337FB365C0209"
"16266","2594932","2026-01-08 19:43:21","1767901401","spasic","0D00000A733783368337FF367402090D"
"16273","2594942","2026-01-08 19:43:31","1767901411","spasic","00000A83378336933703378D02090D00"
"16280","2594952","2026-01-08 19:43:41","1767901421","spasic","000A6337833693370737A502090D0000"
"16287","2594962","2026-01-08 19:43:51","1767901431","spasic","0A6337833693370A37BD020000000000"
"16295","2594973","2026-01-08 19:44:02","1767901442","spasic","090D00000A4337833693370E37EE0209"
"16303","2594983","2026-01-08 19:44:12","1767901452","spasic","0D00000A4337833693370F370603090D"
"16311","2594993","2026-01-08 19:44:22","1767901462","spasic","00000A43378336933711371E03090D00"
"16318","2595003","2026-01-08 19:44:32","1767901472","spasic","000A6337833693371237360300000000"
"16325","2595013","2026-01-08 19:44:42","1767901482","spasic","090D00000A73378336933715374F0309"
"16332","2595023","2026-01-08 19:44:52","1767901492","spasic","0D00000A93378336A33718376703090D"
"16340","2595033","2026-01-08 19:45:02","1767901502","spasic","00000AA3378336B3371B377F03090D00"
"16347","2595044","2026-01-08 19:45:13","1767901513","spasic","000AA3378336D3371F37970300000000"
"16354","2595054","2026-01-08 19:45:23","1767901523","spasic","090D00000AB3378336D3372237B00307"
"16361","2595064","2026-01-08 19:45:33","1767901533","spasic","010D0090010000B3378336D337263709"
"16368","2595074","2026-01-08 19:45:43","1767901543","spasic","0D00000AA3378336D3372937E003090D"
"16375","2595084","2026-01-08 19:45:53","1767901553","spasic","00000A93378336D3372C37F903000000"
"16383","2595094","2026-01-08 19:46:03","1767901563","spasic","090D00000A73378336D3372E37110409"
"16391","2595104","2026-01-08 19:46:13","1767901573","spasic","0D00000A83378336D3372F3729044900"
"16399","2595114","2026-01-08 19:46:23","1767901583","spasic","0101EE6FEE5F61096069090D00000A73"
"16406","2595125","2026-01-08 19:46:34","1767901594","spasic","378336D33732375A0400000000000000"
"16412","2595135","2026-01-08 19:46:44","1767901604","spasic","090D00000A83378336D3373437720409"
"16418","2595145","2026-01-08 19:46:54","1767901614","spasic","0D00000A93378336D33736378A04090D"
"16425","2595155","2026-01-08 19:47:04","1767901624","spasic","00000AA3378336D3373837A20407010D"
"16431","2595165","2026-01-08 19:47:14","1767901634","spasic","00F4010000A3378336D3373A37000000"
"16437","2595175","2026-01-08 19:47:24","1767901644","spasic","090D00000AB3378336D3373C37D30409"
